Store,Cashback (%),Link
T2 Tea,3,https://www.shopback.com.au/t2-tea
Lasoo,7,https://www.shopback.com.au/lasoo
Moomoo,100,https://www.shopback.com.au/moomoo
Etihad Airways,0.25,https://www.shopback.com.au/etihad-airways
Clearly,10,https://www.shopback.com.au/clearly
Reebok,5,https://www.shopback.com.au/reebok
COS,5.3,https://www.shopback.com.au/cos
Marley Spoon,12.5,https://www.shopback.com.au/marley-spoon
Sportscraft,7,https://www.shopback.com.au/sportscraft
Dangerfield,6,https://www.shopback.com.au/dangerfield
Southern Phone,30,https://www.shopback.com.au/southern-phone
Levi's,6.3,https://www.shopback.com.au/levis
KKday,3.5,https://www.shopback.com.au/kkday
Blanco,40,https://www.shopback.com.au/blanco
Nude Lucy,2,https://www.shopback.com.au/nude-lucy
Taking Shape,3,https://www.shopback.com.au/taking-shape
Surf Dive 'n Ski,5,https://www.shopback.com.au/surf-dive-n-ski
